game_pk,f5_away_runs,f5_home_runs,f5_outcome
823228,1,2,HOME
823226,1,1,TIE
823225,1,2,HOME
823224,2,1,AWAY
823221,3,2,AWAY
823953,1,2,HOME
823951,3,2,AWAY
823952,0,4,HOME
823950,2,2,TIE
825009,2,5,HOME
825007,5,1,AWAY
825006,2,1,AWAY
825087,2,12,HOME
825086,3,1,AWAY
825084,3,6,HOME
823223,9,3,AWAY
823222,3,9,HOME
823219,4,2,AWAY
823216,3,2,AWAY
823217,0,2,HOME
824353,3,1,AWAY
824352,0,5,HOME
824354,11,5,AWAY
824440,5,2,AWAY
823710,8,4,AWAY
824595,1,6,HOME
824218,0,0,TIE
824216,5,2,AWAY
824702,0,6,HOME
824699,0,0,TIE
824698,0,5,HOME
824056,0,0,TIE
824054,0,1,HOME
824053,5,6,HOME
824534,4,1,AWAY
824535,3,5,HOME
823563,4,7,HOME
823562,4,0,AWAY
823561,4,3,AWAY
823560,2,3,HOME
824048,0,8,HOME
824047,1,0,AWAY
824046,2,2,TIE
824045,0,1,HOME
824044,0,3,HOME
824124,0,5,HOME
824121,1,4,HOME
824122,6,1,AWAY
824609,4,1,AWAY
824041,0,3,HOME
824042,1,3,HOME
824043,2,1,AWAY
824039,5,0,AWAY
822822,0,2,HOME
822820,0,8,HOME
822819,4,1,AWAY
824441,0,7,HOME
824442,0,2,HOME
824438,2,3,HOME
824037,4,0,AWAY
824038,1,0,AWAY
824034,7,1,AWAY
824035,0,0,TIE
824033,6,4,AWAY
824032,3,5,HOME
824031,0,2,HOME
824029,3,6,HOME
824030,1,3,HOME
824028,1,1,TIE
824275,4,5,HOME
824270,0,3,HOME
824272,3,1,AWAY
822978,2,1,AWAY
822975,6,3,AWAY
822976,1,3,HOME
823892,3,3,TIE
822836,0,2,HOME
824376,3,8,HOME
824210,5,7,HOME
824373,7,1,AWAY
824368,4,6,HOME
823637,3,0,AWAY
824361,4,0,AWAY
823463,0,5,HOME
824360,7,1,AWAY
825083,0,0,TIE
823949,1,10,HOME
823554,1,6,HOME
823552,0,3,HOME
823873,7,4,AWAY
823870,2,3,HOME
824845,1,1,TIE
824841,0,5,HOME
822979,1,1,TIE
824842,4,6,HOME
824839,2,0,AWAY
824836,0,8,HOME
824835,0,5,HOME
824833,2,1,AWAY
824364,6,5,AWAY
823143,1,0,AWAY
823142,2,2,TIE
823141,0,1,HOME
823957,1,2,HOME
823955,6,0,AWAY
823954,4,0,AWAY
824927,2,5,HOME
824928,1,1,TIE
824926,0,0,TIE
823867,0,12,HOME
824674,3,0,AWAY
823379,1,8,HOME
823376,4,4,TIE
823378,1,0,AWAY
823053,0,5,HOME
823893,1,2,HOME
824293,0,4,HOME
823882,3,1,AWAY
823958,2,1,AWAY
822981,0,1,HOME
822811,1,2,HOME
824865,0,0,TIE
824863,4,2,AWAY
824861,3,3,TIE
823406,2,5,HOME
823404,2,1,AWAY
823405,1,6,HOME
824856,4,1,AWAY
824853,4,2,AWAY
824855,3,4,HOME
824453,0,3,HOME
824454,0,0,TIE
824452,4,6,HOME
824125,0,1,HOME
824127,3,3,TIE
824849,1,4,HOME
824848,0,5,HOME
823557,1,5,HOME
823555,3,3,TIE
823872,5,3,AWAY
824847,5,0,AWAY
824844,2,0,AWAY
822980,4,12,HOME
822977,1,1,TIE
824840,4,1,AWAY
824838,0,0,TIE
824837,1,6,HOME
824834,1,1,TIE
824832,0,6,HOME
824198,10,1,AWAY
822898,4,9,HOME
823486,0,5,HOME
823488,3,0,AWAY
824860,2,7,HOME
822920,2,0,AWAY
822918,1,1,TIE
823967,1,5,HOME
825022,1,2,HOME
825023,2,3,HOME
823152,2,0,AWAY
823150,0,5,HOME
822913,4,2,AWAY
822911,2,0,AWAY
824287,4,4,TIE
824285,0,2,HOME
823553,3,3,TIE
823551,2,1,AWAY
822904,3,1,AWAY
822901,1,0,AWAY
822900,0,3,HOME
824356,8,0,AWAY
824355,3,4,HOME
822897,2,2,TIE
822894,0,6,HOME
822893,0,3,HOME
823969,0,1,HOME
824456,1,1,TIE
825026,1,11,HOME
825027,7,0,AWAY
823153,2,6,HOME
824208,3,2,AWAY
824200,0,2,HOME
824522,2,0,AWAY
824194,0,1,HOME
824192,2,0,AWAY
822899,4,0,AWAY
824190,2,6,HOME
824187,2,0,AWAY
824862,3,1,AWAY
824451,1,3,HOME
824123,2,3,HOME
824846,3,1,AWAY
824843,6,0,AWAY
824375,1,3,HOME
823156,3,5,HOME
